,Title,Price,Bedrooms,SqFt,Location
2607,4 BEDROOMS whole house for rent,2600,4,NA,NA
2608,Spacious Suite For Rent,1500,2,1100,Boundary Park
2609,"Available Jan 1, 2019 1 bdrm plus flex rm/den  $1950. pm.",1950,1,778,"Austin Road, Burquitlam"
2610,"Burnaby, Holdom Skytrain , lower level house room for rent Girl Only",600,1,NA,"Halifax Street, Burnaby"
2611,2 Bedroom Apartment for Rent next to Brentwood,2050,2,840,"Brentwood, Burnaby"
2612,2 BR BASEMENT FOR RENT IN BRAND NEW HOME IN THE METROTOWN AREA.,1600,2,800,"Clinton Street, Burnaby"
2613,"Burquitlam Townhouse 2.5 bath, 2 parking, option to furnish",2200,2,1130,West Coquitlam
2614,Partially Furnished Townhouse 2.5 bath 2 parking near Lougheed + SFU,2350,2,1130,Burquitlam
2615,Affordable Rental,1350,1,650,Manchester Drive
2616,Large 2 Bedroom + Den Apartment at SFU Campus - Burnaby,2000,2,980,University Crescent
2617,"Beautiful 3 Bedroom, 2 Bathroom Corner Suite with Upscale Furnishing",2495,3,1000,New Westminster
2618,Unique Spacious 2 Bed 2 Bath at Portage New West-Nov 1st,2150,2,979,Salter Street
2619,Elegant Large 1 Bed & Den at the Q by the Water-Views!,1330,1,730,Renaissance Square
2620,Modern 3 Bedroom plus 2 Bathroom with Fireplace and Hardwood Floors,2795,3,1300,NA
2621,Lovely 3 Bedrooms plus 2 Bathrooms with Fireplace and Private Patio,3495,3,1300,NA
2622,Spacious 4 Bedroom plus 2 Bathroom plus 2 Fireplaces and Private Yard,3495,4,2400,NA
2623,"Charming 2 Bedroom, 1.5 Bathroom Suite with Private Roof Top Patio",2395,2,1035,NA
2624,"Walk to HighGate, Metrotown, Skytrain, SFU Xpress Bus",1295,1,650,"Maywood Street, Burnaby"
2625,Beautiful Executive 1 Bedroom + Den Condo in Burnaby,1600,1,715,North Burnaby
2626,SFU/KENSINGTON AREA- 3 BEDROOM TOP FLOOR HOUSE/UTILITIES INCL.,1895,3,1300,NA
2627,***2 Bedrooms and 1.5 Washroom (Furnished or Unfurnished)***,1850,2,NA,"Queensborough, New Westminster"
2628,spend Christmas in your New West condo,2000,2,900,New Westminster
2629,52nd Floor Brand New One-Bedroom + Flex Space Condo In Metrotown,2100,1,644,Assembly Way
2630,Burnaby Apartment for RENT near Metrotown/Crystal Mall!,2600,2,850,"Wilson Avenue, Burnaby"
2631,Like NEW 1 BD 1Bath @ PARK Metrotown available now,1800,1,490,Lennox Lane Burnaby
2632,Brand new one bedroom suite in a great area,1199,1,600,Upper Deer Lake
2633,NEWER LARGE STUDIO/OPEN CONCEPT CONDO,1250,NA,540,West Coquitlam
2634,You will love this 2 bdrm suite in New West - great view,2000,2,990,New Westminster
2635,Luxury- 2 bedroom 3 bathroom townhouse for RENT METROTOWN/CENTRAL PARK,2650,2,1450,"Willingdon Avenue, Metrotown"
2636,SPACIOUS 2 BR GROUND LEVEL SUITE for Rent North Burnaby,1600,2,1000,North Burnaby
2637,One Bedroom Indepandent Suite Close to SFU,1100,1,NA,NA
2638,Over 950 sqf. 1 bedroom suite ground floor,1295,NA,NA,NA
2639,Newly Renovated 2 bedroom Apartment in Metrotown with Views,2495,2,NA,"Silver Drive, Metrowown"
2640,Brand New Metrotown Station Square Highrise for Rent,1895,1,605,"Assembly Way, Burnaby"
2641,LARGE TWO BEDRM TWO BATH 1135 SF,2500,2,1135,NA
2642,LARGE TWO BEDROOM TWO BATH CONDO,2500,2,1135,NA
2643,LARGE 2 BEDROOM 2 BATH VIEW CONDO,2500,2,NA,NA
2644,2 BEDROOM 2 BATH CONDO WITH VIEW,2500,2,1135,NA
2645,NEW WESTMINSTER 2 BD 2BATH VIEW,2500,2,1135,New Westminster
2646,Brand new one bedroom suite in a great area,1199,1,600,NA
2647,TWO BEDROOM TWO BATH  WITH VIEW,2500,2,1135,NA
2648,TWO BEDROOM CONDO WITH SPECTACULAR VIEW,2500,2,1135,NA
2649,Excellent Location Townhouse for Rent in Metrotown Area,3200,3,1650,"Silver Drive, Metrotown"
2650,Beautiful View Two Bedroom Apartment in the Heart of Metrotown Area,2850,2,995,"Olive Avenue, Metrotown"
2651,"Award-winning ""GREEN"" SE Corner 3 Bed 2 Bath close to Edmonds Skytrain",2200,3,949,NA
2652,*Walking distance to Brentwood Station* - Elegant 3BR 1BA House,3000,3,1850,"Brentwwod, Burnaby"
2653,Caraboo Hill burnaby.Upper 2+bedroon.large living room+den.Nice house,1550,2,1350,NA
2654,One spacious bedroom+ living room near Metrotown,1100,1,700,"Grange Street, Metrotown"
2655,Unfurnished - Edmonds-1 Bedroom + 1 Bath (Edmonds),1700,1,624,NA
2656,2 Bdrm Penthouse,2300,2,950,NA
2657,"January 1, 2019... 2 bedroom 1 bath basement suite",1600,2,NA,Barclay Street
2658,<U+2600><U+2600> DELIGHTFUL FURNISHED STUDIO <U+2600><U+2600>,1350,NA,NA,NA
2659,"$2000 / 652ft-1BR, 1BthR & Den@ Station Square Metrotown",2000,1,652,"Beresford Street, Metrotown"
2660,Capitol Hill 4 bdrm 3 bath level entry home with view of Metrotown,3200,5,2600,"Capitol Hill, Burnaby"
2661,2 bdr suite available for December 15,1500,2,800,North Burnaby
2662,Bachelor suite available December 1,1200,NA,500,North Burnaby
2663,1 Bedroom available December 1,1300,1,700,NA
2664,"NEW IN UPPER DEER LAKE, FIREPLACE, DISHWASHER",1548,2,NA,NA
2665,***North Burnaby -SFU 3 Bedroom/2 Full Bath Upper Duplex****,2250,3,1250,North Burnaby
2666,1 BEDROOM CONDO IN VANCOUVER HEIGHTS,1795,1,650,North Burnaby
2667,HASTINGS & HOLDOM 3 BEDROOM 2 BATH AVAILABLE JAN 1,2695,3,1450,Burnaby North
2668,"2 Br, 2 Bath - Skytrain - Burnaby/Coquitlam",2100,2,900,"Austin Avenue, Burnaby"
2669,"Available January Studio , includes heat hot water Burnaby",1275,NA,NA,NA
2670,New 2 bedroon Apt for rent,2750,2,910,NA
2671,"2 Bed, 2 Bath - Excellent location - Coquitlam/Burnaby & Skytrain!",2100,2,900,NA
2672,Tastefully Decorated Spotless Furnished Suite in North Burnaby #853,1700,1,700,North Burnaby
2673,New Westminster By Sherbrooke and Columbia street 1 BR Avail December,1450,1,NA,"Columbia Street, New Westminster"
2674,Brand New 2 Bedrooms at Station Square,2600,2,NA,Assembly Way
2675,"TWO BEDRM,  TWO BATHRM VIEW CONDO",2500,2,1135,New Westminster
2676,Looking for roommate to get a 2br apartment/basement suite,500,2,NA,NA
2677,New Westminster Near St. Andrews and Eight Street Studio Avail Decemb,1475,NA,NA,"Eighth Street, New Westminster"
2678,"Available December 1 bdrm , heat hot water included New Westminster",1425,1,NA,New Westminster
2679,Metrotown Station Square Furnished 2 Bed 2 Bath Apartment for rent,2600,2,800,"Kingsway, Metrotown"
2680,"WL391 - 5BR + 3 Bath House w/ Mountain Views in Deer Lake, BBY South",3550,5,3015,Eagles Drive
2681,3 bedroom furnished Edmonds available NOW,3300,3,1200,Edmonds Street
2682,available now. house ground level 1 bedroom,1150,1,NA,Margarets Street
2683,"Station Square Tower 1 Burnaby December 1, 2018",1700,1,500,NA
2684,37th Floor- Station Square Brand New Unit,1800,1,550,NA
2685,SFU Campus-VERITAS BY POLYGON-5F 2 Beds New Condo Avail. Dec,2000,2,750,Slopes Mews
2686,"Bright 2 bedroom, Non smoking bldg Avail Nov 15",1950,2,NA,"Imperial Street, Metrotown"
2687,Brand New Milano 2 BR 2 Bath Burnaby Townhouse by Brentwood Mall,3200,2,NA,NA
2688,2BED/2BA - Station Square 2 - Brand New Apartment in Metrotown,2700,2,825,"Assembly Way, Burnaby"
2689,1 BR BSMT SUITE - NEAR HOLDOM SKYTRAIN STATION,1350,1,850,NA
2690,Metrotown brand new 2 bedrooms high- rise suite,3000,2,955,Metrotown
2691,Jr 1 Bed/ 1BA - Station Square 1: 2 Years old apartment in Metrotown,1700,NA,478,"Kingsway, Burnaby"
2692,"1bd/1bath condo, close to transit and shopping in Brentwood!",1500,1,539,"Brentwood, Burnaby"
2693,Burnaby 3 BR/2ND FLOOR/NEW RENOVATED $2490,2490,3,1200,NA
2694,"2 Bedroom Basement Suite -Cariboo Heights, Laundry & Semi-Furnished",1600,2,800,East Burnaby
2695,Burnaby East New House separate entrance 2bed suite for rent,1600,2,NA,17 th Avenue
2696,Two bed one bath garden suite,1895,NA,800,NA
2697,TWO BEDROOM CONDO WITH VIEW,2500,2,1135,New Westminster
2698,"19th FL Location, Location 3 bdrm + 2 baths in the heart of Metrotown.",3300,3,1315,"Central Boulevard, Metrotown"
2699,Metrotown station square 1 Bedroom 1 Bath Condo,1900,1,NA,"Assembly Way, Metrotown"
2700,Metrotown Brand New 2 Bedroom 2 Baths Condo,2600,NA,855,"Assembly Way, Metrotown"
2701,BRAND NEW 2 Bed 2 Bath Condo in Burnaby Highgate,2250,2,800,Kingsway
2702,Burnaby South Highgate 3 Bedroom 2 Bath for Rent,2700,3,1322,Hall Avenue
2703,"Large 3 Bedroom townhouse , North Burnaby MONTH TO MONTH RENTAL",2500,3,NA,North Burnaby
2704,BRAND NEW FULLY FURNISHED 2BR/2BATH METROTOWN,2900,2,810,Dunblane Avenue
2705,Upstair 2 bedrooms house for rent,NA,2,NA,4th Street
2706,3BR+Den & 1 Bath Ground Floor Suite,1600,3,1200,"Linton Street, Coquitlam"
2707,Metrotown Station Square 1 bed/den for rent,1800,NA,663,"Assembly Way, Metrowon"
2708,"4BR + den whole house, $3500, Patterson Skytrain Stn, Burnaby area",3500,4,NA,"Beresford Street, Metrotown"
2709,One BR Apartment uptown New Westminster,1395,1,700,New Westminster
2710,Brand New 2 Bedroom and Den Apartment Coming Soon,2800,2,1113,Alpha Avenue
2711,1 bdm/ 1 full bthrm self contained suite for rent,1700,1,900,New Westminster
2712,"1 Masterbedroom Spacious & Private Suite, North Burnaby",1500,1,750,"Ridge Drive, Burnaby"
2713,Spacious One Bedroom in Central Metrotown.  Move In Now!!,1950,1,591,Kingsway Makay
2714,BRAND NEW 1 Bedroom Condo at Westbourne!!!,1650,1,591,New Westminster
2715,NORTH  BURNABY SFU & BCIT LARGE 3 BEDROOM 2 BATH AVAIL jAN 1,2695,3,1450,North Burnaby
2716,2 Bedroom  above ground suite,1400,2,1000,NA
2717,3 bed + 2 bath house for rent,2900,3,2000,"10th Avenue, New Westminster"
2718,Upper level of house 2 XL bedroom with attic over 1600 sf,2300,2,1600,New Westminster
2719,NORTH BURNABY - 3 BEDROOM TOP FLOOR HOUSE/UTILITIES INCL.,1895,3,1300,NA
2720,SPACIOUS 1 BDRM @ METROTOWN - DECEMBER 1,1557,1,740,Metrotown
2721,2BR + 2 bath + 1 parking + 1 storage unit,1900,2,NA,Southpoint Avenue
2722,(ORCA_REF#2601- 4360B)Luxury 2bed/2bath Condo in Burnany  Modello buil,2950,2,1088,Metrotown
2723,Apartment close to Metrotown,2700,2,NA,Dunblane Avenue
2724,2 BEDROOM BASEMENT AVAILABLE FOR RENT,1600,2,NA,"Queensborough, New Westminster"
2725,Prescott Commons 201 - Brand New- Two Bedroom & Two Bathroom Home,1925,2,814,Surrey
2726,Brand New Large Corner Unit on the 17th Floor at Midori,2400,2,907,Metrotown
2727,City Views! Corner Unit at Aldynne on the Park,2500,2,875,Metrotown
2728,One bedroom basement suite for rent,1050,1,NA,"Queensborough, New Westminster"
2729,Station Square New one bedroom at Metrotown Burnaby,1850,1,605,Assembly Way
2730,4 bedroom suite available now,2350,NA,NA,Highgate
2731,bolldpm.com SOVEREIGN 1BR w/Balcony For Rent near METROTOWN,1975,1,600,"Hazel Street, Burnaby"
2732,Capital Hill - SPECTACULAR views,2530,3,1200,NA
2733,1 bedroom basement,1100,NA,NA,Coquitlam
2734,MAIN FLOOR 2BR SUITE AVAILABLE NOW $1500,1500,2,NA,North Burnaby
2735,2 Bedroom Corner unit Near Metrotown,2500,2,737,NA
2736,2 bedroom apartment close to downtown,1850,2,NA,Stratcona Area
2737,3 bedrooms Apartment in the heart of Metrotown,2495,3,1194,Metrotown
2738,1 bedroom suite mian floor upper deer lake,1150,1,400,Winston Street
2739,4 bedroom suite available immediately,2350,NA,NA,NA
2740,"2 BR, 2 baths 4 year highrise condo in Metrotown",2400,2,828,"Beresford Street, Metrotown"
2741,beautiful Newer home 3 bedroom 2 bathroom suite upper floor,2750,3,1800,South Burnaby
2742,"Available Dec 1, Self contained bachelor suite",820,NA,NA,North Burnaby
2743,"New 1 Bedroom on SkyTrain, Amazing Amenities",1650,1,569,"Nelsons Crescent, New Westminster"
2744,New 3 Bedroom Home at Brewery District,2700,3,1008,"Nelsons Crescent, New Westminster"
2745,New & Spacious 2 Bedroom at Brewery District,2200,2,878,"Nelsons Crescent, New Westminster"
2746,Large Bright Newly Renovated 2 Bed Ground Level Suite,1900,2,1100,NA
2747,"Lovely, bright, clean ~~~~~~~~~~~~~1 bedroom",1295,1,690,"Agnes Street, New Westminster"
2748,2 bedroom 1 bath Basement Suite Own Entrance,1700,2,1200,North Burnaby
2749,BURNABY HEIGHTS CONDO 1 BEDROOM,1795,1,650,McGill Street
2750,Furnished 2bedroom & 2bath Burnaby townhouse for rent,2300,2,1100,NA
2751,"Bright clean,reno'd 2 bedroom in Non Smoking building",1950,2,NA,Metrotown
2752,2 bdrm apt Bright & Clean non smoking bldg Dec 1,1950,2,NA,Metrotown
2753,North BurnabyCapitol Hill 5 bd 4 bath level entry home Stunning view,3500,5,2600,Capitol Hill Burnaby
2754,Two bed room suit,1750,2,900,NA
2755,"Gorgeous 2 Bedroom, 2 Bath Suite with 2 Balconies and fireplace",3195,2,800,Brentwood
2756,"LARGE 1 BEDROOM, DEN & BALCONY, UPTOWN NEW WESTMINSTER VIEW & LOCATION",1900,1,740,NA
2757,Gorgeous 2 Bedroom plus 2 Bathrooms with Fireplace and Balcony,2295,2,850,Brentwood
2758,Spacious Two Bedroom with Ample Floor Plan and Lovely Water Views,2495,2,1150,New Westminster
2759,4.5 Bed/2 Bath Whole House in North Burnaby,3200,4,2510,Yeovil Place
2760,"2 Bedroom Downtown New Westminster, Pets Allowed",1950,2,NA,"Clarkson Street, New Westminster"
2761,2 Bedroom 2 Bathroom Unfurnished Condo,2485,2,900,Brentwood
2762,2bedroom suite /Burnaby -includes utilities,1500,2,NA,NA
2763,"2 Bedroom Downtown New Westminster, Pets Allowed",1950,NA,NA,"Clarkson Street, New Westminster"
2764,2 Bdr.,1400,2,NA,NA
2765,"Brand New 1Bedroom @ Elliot, NW",2100,1,575,New Westminster
2766,Furnished*Brand New Metrotown Station Square2 Highrise with VIEW,2450,1,640,Assembly Way
2767,2 BEDROOM CONDO,1825,2,700,Queensborough
2768,SFU & BCIT 1 BEDROOM CONDO IN BURNABY HEIGHTS,1795,1,650,Burnaby North
2769,Cozy 1 Bedroom Basement Suite Upper Deer Lake,1200,1,425,Burnaby
2770,Brand new beautiful condo on Burnaby mountain. Fully furnished.,2580,2,875,SFU
2771,1 Bedroom Ground Floor Basement in North Burnaby,1000,NA,NA,North Burnaby
2772,1 bed + den furnished condo - short term,1650,1,575,"14th Avenue, Burnaby"
2773,3br basement for rent near SFU,1800,3,NA,North Burnaby
2774,1 BEDROOM APARTMENT,1400,1,650,New Westminster
2775,1 BEDROOM APARTMENT on 3rd TOP FLOOR FOR NOV 1st,1400,1,650,New Westminster
2776,"Metrotown, BCIT area",1535,2,1050,NA
2777,2 bedroom suite for rent,1550,2,750,Hastings Heights
2778,"Beautiful, like-new 2 BR, 1 Bath, Condo. Avail. Jan. 1, 19",1780,2,800,New Westminster
2779,North Burnaby Home,4500,NA,2826,NA
2780,Modern 2 Bedroom Fully Furnished Fantastic River Views Short Term OK,2950,2,1000,New Westminster
2781,Metrotown station square 1 Bedroom 1 Baths Condo,1900,1,600,Assembly Way
2782,1 Bedroom Suite- Royal City Center,1280,1,580,New Westminster
2783,2 bedroom house with a front yard in DT Hope BC (no back yard),1150,2,1000,NA
2784,Metrotwon One Bedroom + living room +Den furnished,1780,1,600,Metrotown
2785,"<U+25BA> TOTALLY FURNISHED BACHELOR SUITE, HANDY LOCATION <U+25C4>",1350,NA,NA,NA
2786,1 bedroom plus huge den!,1850,1,600,NA
2787,"Student home stay - Nice  bedroom for rent, wifi, tv, iMac, C",899,1,NA,East Vancouver
2788,"full funituered New3bed2bath,Basement near SFU",1950,3,1380,North Burnaby
2789,2 br 2 full bath near Edmonds station,1950,2,800,Station Hill Drive
2790,Brand New Metrotown Station Square Highrise for Rent,1950,1,585,"Station Street, Burnaby"
2791,Brand new house one bedroom suite for rent in queensborough,1000,1,NA,"Queensborough,  New Westminster"
2792,Two Bedroom Apartment for Rent-near SFU and Burnaby Mountain School,1850,2,900,Saturna Drive
2793,"Newly renovated 5 Br house Large , Bright; Excellent Neighbourhood",2800,5,NA,North Burnaby
2794,RENO'ED 1 Br + Flex Rm w/ BALCONY,1295,1,NA,New Westminster
2795,2 Bedroom Available For Short Term Rental Beside SFU,1900,2,840,NA
2796,Sunny House with Great View - Pet Friendly,3500,5,NA,NA
2797,"Nice & quiet 3+ room house near to SFU, Coquitlam College in Coquitlam",2200,3,NA,SFU
2798,SFU AREA- 3 BEDROOM TOP FLOOR HOUSE/UTILITIES INCL.,1895,3,1300,NA
2799,4 bedrooms - 1 1/2 floor suite for rent,2400,4,1850,North Burnaby
2800,(Vanakrealty.com) Burnaby Apartment,1590,1,620,Sidley Street
2801,Furnished - 1 bed / 1 bath basement suite,1000,NA,NA,New Westminster
2802,"Metrotown , 2 bed, 2 bath  with VIEW",2500,NA,840,Metrotown
2803,BRAND NEW Condo - Be the first to live in!,1700,NA,650,West Coquitlam
2804,NORTH  BURNABY SFU & BCIT LARGE 3 BEDROOM 2 BATH AVAIL jAN 1,2695,3,1450,Burnaby North
2805,Spacious 2 Bedroom For Rent Dec 1,1900,2,900,Lougheed
2806,"Luxury furnished 1BR top floor apartment, Lougheed Skytrain,  Dec 1",1850,1,680,NA
2807,Homestay at Brand new house at New West,1350,1,2600,"Hampton Street, New Westminster"
2808,Executive Home,4800,5,3500,MA
2809,BURNABY NORTH VANCOUVER HEIGHTS 1 BEDROOM CONDO,1795,1,650,Burnaby North
2810,"2 Bedroom 2BA Bright Cozy Spotless, could be Furnished",2400,2,827,NA
2811,"*** VIEWS!!! BRAND NEW 1BR CONDO, STATION SQUARE IN METROTOWN ***",1750,1,644,Metrotown
2812,TWO BED TWO BATH WITH TERRIFIC VIEW,2500,2,1135,New Westminter
2813,Pet Friendly - Studio - Completely Renovated Community,1400,NA,500,"Seventh Street, New Westminster"
2814,"Available December 1BR , heat hot water included New Westminster",1425,1,NA,New Westminster
2815,Three bedroom basement suite near royal oak skytrain,1400,3,NA,NA
2816,COACH HOME FOR RENT,1600,1,NA,New Westminster
2817,Solo Altus 2 bed room brentwood,3000,2,900,NA
2818,Brand New 2 Bed+ Den 2 Bath with Great Park & Mountain Views,2200,2,800,Metrotown
2819,Metrotown Brand New 865 sqft-2 bed/2 bath-150sqft outdoor space,2200,2,865,Metrotown
2820,Brand New-Metrotown 1Bed with Great Garden Views-1 parking,1775,1,605,"Station Square, Metrotown"
2821,<U+2764><U+FE0F> Fully furnished 2 bedroom 2 bathroom apartment,2800,2,920,"Halifax Street, Burnaby"
2822,For rent 3bedroom ( main floor ) Penticton,1650,3,1100,NA
2823,2bdr SUITE IN NORTH BURNABY,1700,2,1000,North Burnaby
2824,Great Price!!!! New Two bedroom Basement- Upper Deer Lake,1550,2,800,Gilley Avenue
2825,New Renovated Whole Upper Level for Rent,2850,3,1500,NA
2826,Master Bedroom in East Burnaby Beautiful house available for rent,1050,1,NA,NA
2827,Rent this Fully Furnished Renovated 2 KIT Whole House Near Skytrain!,4199,5,NA,NA
2828,Spacious 2 Bed 2 Bath Apartment by Metrotown Skytrain Station,2580,2,755,Nelson Avenue
2829,Spacious 2 Bedroom Apartment for Rent - Unfurnished,2500,2,840,Burnaby North
2830,Brand new 4 bedroom sub penthouse near Metrotown for rent,5500,4,NA,"Beresford Street, Metrotown"
2831,"2 BR + 2 full bath+Den, 1,013sq.ft, Corner condo, SFU Campus, Novo II",2200,2,1013,sfu
2832,5bedrooms gorgeous view North Burnaby,3800,5,2200,Hythe Avenue
2833,2BED+DEN+2BATH New Westminster Downtown,2200,2,789,Royal Avenue
2834,3 bedroom apartment available for rent in Burnaby Capitol Hills,2400,3,1025,"Burnaby, Capitol Hills"
2835,Completely furnished 2 bedroom 2 bathroom like new condition,2500,2,986,Lougheed
2836,Luxury brand new apartment at SFU. Fully furnished.,2490,2,875,SFU
2837,Cute 1 bedroom suite lower lonsdale,1250,1,NA,NA
2838,"Furnished 6 bedroom 3 bathroom, two level home",3880,6,4680,"Glenayre Drive, Port Moody"
2839,Newly renovated large 1 bedroom unit Downtown New Westminister,1840,1,760,"Begbie Street, New Westminster"
2840,2-Bedroom basement suite - Metrotown/BCIT,1600,2,1000,Metrotown
2841,Legal New house available after 11.15,1800,2,600,Metrotown
2842,Burquitlam- 2 bedroom basement suit for rent,1650,2,NA,NA
2843,Luxury Condo Met2 - 6538 Nelson Ave Burnaby across Metrotown,2580,2,753,Nelson Avenue
2844,One bedroom (+ den) apartment near Metrotown for rent,1600,NA,560,Kingsway
2845,Bright 2 bedroom non smoking building Avail Dec 1,1950,2,NA,Metrotown
2846,Newly reno'd. Bright & clean 2 bdrm in non smoking building,1750,2,NA,"South Burnaby, Metrotown"
2847,Brand New Metrotown Station Square Highrise,1895,1,605,"Assembly Way, Burnaby"
2848,3 Bedrooms For Rent.,2800,3,NA,New Westminster
2849,2 Bedrooms 912 Square-feet high-rise beautiful views of Fraser River,2280,2,912,"Ross Drive, New Westminster"
2850,Large Townhouse for growing family Rent To Own/Vendor Finance,1,4,NA,NA
2851,"Bright 1 bedroom away from Gilmore Station,Brentwood Mall",900,1,NA,Halifax Street
2852,"1 Bedroom corner unit Walking distance to Skytrain, Lougheed Mall",700,1,NA,Carrigan Court
2853,1 BEDROOM SUITE NORTH BURNABY BRENTWOOD,1275,NA,NA,"Union Street, Brentwood"
2854,Lougheed Mall Corner 15th Floor Condo,1900,2,830,Cardston Court
2855,"1 Bedroom, Brand New, Burnaby by Brentwood Mall",1900,1,525,"Alpha Avenue, Brentwood"
2856,Metrotown Midori new 2 bedrooms for rent,2600,NA,930,Dunblane Avenue
2857,One BR Apartment uptown New Westminster,1395,1,700,New Westminster
2858,Brand New Metrotown 2-Bedroom Highrise Apartment for Rent,2650,2,1150,Metrotown
2859,Large Two bed Two Bath Condo Terrific View,2500,2,1135,New Westminster
2860,"Looking for girl roommat, Lower level house colse Holdom Skytrain $600",600,1,NA,Halifax Street
2861,Nice Basement Suite In Burnaby Lake ( Lakefield),1480,2,1300,"Reigate Road, Burnaby"
2862,Apartment for Rent - Great Location at Patterson Station!,1900,2,896,Metrotown
2863,Burnaby Edmonds Unfurnished Apartment (1 bed 1 bath),1700,1,624,NA
2864,<U+25BA>Beautiful Character House in North Burnaby 4 Bedroom & Attic,3900,5,NA,NA
2865,Spacious Bachelor - High-Rise Building,1480,NA,552,8th Avenue
2866,Brand New 1 Bed & 1 Bath Condo -Station Square 2 - Avail Nov 17,1800,1,NA,Metrotown
2867,2 Beds 1 Bath with a View at Capital Hill,1400,2,1200,Hythe Avenue
2868,Furnished 2bedroom & 2bath Burnaby townhouse for rent (Burnaby-Edmond,2300,2,1100,NA
2869,2 Bedroom Groundfloor Suite for Rent,1700,2,NA,NA
2870,Brand New 1 Bedroom (Station Square),1950,1,587,Metrotown
2871,BRAND NEW HOUSE 3 BEDROOMS 2.5 BATHS,3500,3,1600,NA
2872,BRAND NEW 2 BEDROOMS WITH 1 BATH EXCELLENT LOCATION,2000,2,900,NA
2873,"large 1 bedroom downtown Skytrain Station, Douglas College",900,1,NA,Agnes Street
2874,Huge 1 bedroom + 1 bathroom Downtown New West,850,1,NA,NA
2875,NEWLY One Bedroom View Of  Mountain to Mt. Baker!,650,1,NA,NA
2876,Burnaby Central/Deer Lake 5 Bed 2.5 Bath Unfurnished House for Rent!,3000,5,3300,Mahon Avenue
2877,RENOVATED 1 bedroom at Victoria Hill in New Westminster,735,1,NA,Ross Drive
2878,HIGHRISE CONDO in great location,1289,1,NA,New Westminster
2879,Station Square Phase 2 - Brand New 1 Bedroom,1850,1,583,"Assembly Way, Burnaby"
2880,"1st floor, Large 1bdrm/1 bath",1230,1,700,North Burnaby
2881,BURNABY EAST LUXURY A/C HOUSE TO RENT,5600,5,4000,East Burnaby
2882,New 21 Floor Corner 2 Bedroom Condo Station Square Metrotown,2650,2,978,Assembly Way
2883,Brand new one bed room + den apartment,1800,1,642,Broadway
2884,1 bedroom suite in new building,2000,1,636,Madison
2885,"Spacious 5 bedrooms, 4 baths house",3250,5,4500,Curtis Phillips
2886,"2 Bedroom 2 Bathroom - ""2"" Parking Stalls""",2250,2,900,Brentwood
2887,One Bedroom basement Suite,1500,1,NA,North Burnaby
2888,NEWLY RENOVATED HOME FOR RENT,2200,4,NA,"Imperial Street, Burnaby"
2889,Brand New 1 Bedroom Apartment at Metrotown Station Square,1680,1,551,Metrotown
2890,"Beautiful New One Bed w/ Gym, Storage & Parking!",1725,1,NA,Metrotown
2891,Beautiful New One Bedroom One Bathroom at Silver!,1725,1,513,NA
2892,2 month rent ONLY,1500,1,NA,North Burnaby
2893,Beautiful Bright 2 Bedroom 2 Bath with Storage & Parking at FITZGERALD,1850,2,827,Brentwood
2894,Beautiful New One Bedroom One Bath w/ Storage & Parking at Silver!,1725,1,513,Metrotown
2895,Beautiful New 2 Bed + Den & Garage Townhouse at BREEZE!,1950,2,1400,Morgan Crossing
2896,Motif Two Bedrooms Apartment in Burnaby's Most Livable Urban Community,2400,2,1212,Brentwood Park
2897,1 BEDROOM CONDO AVAILABLE IN BURNABY HEIGHTS,1795,1,650,Burnaby Heights
2898,new 1 & 2 bedroom apt,1200,2,NA,"17th Avenue, Burnaby"
2899,$1850 / 1bed + den - 645sqft- Beautiful 1 BD available @ Metrotown,1850,1,645,Metrotown
2900,Metrotown 2 bed 2 bath Condo unit of a new building,2400,2,866,Metrotown
2901,"1 bedroom + den Townhouse CORNER UNIT Available Dec 1, 2018",1600,1,640,NA
2902,"1 bedroom + den Townhouse Available Dec 1, 2018",1450,1,640,14th Avenue
2903,2 BEDROOM TOWNHOME PET FRIENDLY - ONLY ONE AVAILABLE NOW,2200,2,1000,NA
2904,2 BEDROOM TOWNHOME - ONLY ONE AVAILABLE NOW,1975,2,1000,14th Avenue
2905,"House two bedroom for rent, near BCIT, Deerlake and Burnaby Central highschool",1400,2,NA,Cedarwood Street
2906,Central Burnaby ground floor 2 bedroom,1500,2,900,Harper Street
2907,1 bedroom new apartment,1700,1,560,"Hazelbridge Way, Richmond"
2908,Extra Large Apartment for Rent - Great Location!,1900,2,1089,NA
2909,Apartment for Rent - Perfect Location at Patterson Station!,2000,2,750,NA
2910,Only Suite in Station Square with 600 sq. ft. Patio - Brand New!,2650,2,822,NA
2911,*****$1550.00 = Two BR + Den on Ground Floor Suite Available Now *****,1550,2,NA,Metrotown
2912,2 Bedroom North Burnaby Suite,1650,2,1050,Union Street 
2913,"Metrotown,  2 bed, 2 bath view",2500,2,840,Nelson Avenue
2914,Well maintained custom built 4br 3ba home at Quiet Burnaby Lake area,2700,4,2209,NA
2915,Metrotwon One Bedroom + Den furnished,1780,1,600,Metrotown
2916,3 large bedroom suit for rent,1850,3,1000,NA
2917,North Burnaby 3 BR Basement Suite - $1700,1700,3,NA,NA
2918,#119 - 2 Bed 2 Bath and Den Waterfront Apartment,2050,2,875,New Westminster
2919,8th floor 2 bedroom suite available,1600,2,960,New Wesminster
